"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"AC100849.1",1.22450369793555,2.57797672235978,2.61226839385021,0.986872837580105,0.323704981639815,0.99961583089597
"HNMT",1.27336249948897,2.56604747875778,1.71160395189092,1.49920632978377,0.133820113458118,0.99961583089597
"XPO4",2.80516682277648,2.56452680655151,1.10932882981028,2.31178234770126,0.0207896806786279,0.99961583089597
"AL078600.1",1.12949010423974,2.55811419789686,1.59958135223258,1.59923982254884,0.1097673250157,0.99961583089597
"PYHIN1",1.23120431728876,2.55275071925866,2.28881052436828,1.11531762550036,0.264714335040574,0.99961583089597
"PERP",1.05411464312372,2.54269335578555,1.92307180029011,1.32220406716065,0.186100207115289,0.99961583089597
"AF064858.1",2.07853638302526,2.54146064683787,1.69306098939035,1.50110401383296,0.133328660823737,0.99961583089597
"PDLIM7",1.83729582329514,2.53884176246903,1.31692083720399,1.92786209371503,0.0538722817635823,0.99961583089597
"GPATCH2",1.79602274147736,2.53429365958595,1.34528981259338,1.88382728826324,0.0595883411259557,0.99961583089597
"GGA1",1.06183095491339,2.53213417244229,1.63689972491006,1.54690854540978,0.121885300165378,0.99961583089597
"LMO3",2.63956414220987,2.52335838358926,1.38413031621602,1.82306416818302,0.0682936727626287,0.99961583089597
"KIAA1549L",1.6979380004265,2.51479399132245,1.45141324277953,1.73265195410956,0.0831575489809522,0.99961583089597
"H1FX",2.91168086235982,2.50533408842491,1.4248845469596,1.75827163946073,0.0787013008299578,0.99961583089597
"IL18",1.02584771683533,2.49911896075976,2.36723840224209,1.0557107211478,0.291100397487155,0.99961583089597
"NDUFAF7",1.16588975222208,2.49205698762632,1.64987602977091,1.51045105369059,0.130928369845999,0.99961583089597
"GABRG2",1.11749715864766,2.49070227272782,1.76640264061919,1.41004220411193,0.15852722137367,0.99961583089597
"KCNIP1",1.05395610583667,2.48180211915427,2.30812050806884,1.07524806892806,0.282263679563358,0.99961583089597
"ZMIZ2",1.12498188954565,2.47913464411891,1.86406819228257,1.32995920126891,0.183531714007967,0.99961583089597
"PLAC8",1.18359583525912,2.47789797615973,2.20011828515999,1.12625670759313,0.260056876704407,0.99961583089597
"CCN3",0.984133326075906,2.47769788652944,1.86822631459884,1.32623005423273,0.184763507154776,0.99961583089597
"CD248",1.19738719214426,2.47292229481711,1.91233104350021,1.29314550596367,0.195960738871597,0.99961583089597
"RNF2",0.991591765248351,2.47216624301202,1.90737139356909,1.29611162846795,0.194937029287223,0.99961583089597
"TMEM71",1.12120272044609,2.46763708862764,2.20183153823355,1.12072020305756,0.262406979756183,0.99961583089597
"RAB11FIP1",0.994927142907119,2.45366530328644,2.0911109354404,1.17337883021958,0.240643922755041,0.99961583089597
"FGFR1OP2",3.74266534009889,2.45360474108682,1.02390933235529,2.39631055558682,0.0165610519877584,0.99961583089597
"PRRC1",1.05993016209451,2.44880191784616,1.86517595321597,1.31290665292135,0.189214404810628,0.99961583089597
"TRG-AS1",1.10691638135725,2.44699061864527,3.08330936112037,0.793624749271386,0.427413919987006,0.99961583089597
"PRF1",1.10691638135725,2.44699061864527,3.08330936112037,0.793624749271386,0.427413919987006,0.99961583089597
"EAPP",0.987054776329558,2.44616451800095,1.81268934505568,1.3494670361875,0.177187001402547,0.99961583089597
